#,Thermostat,identifier,x
#,Thermostat,name,Main Floor
#,Start,date,2021-11-01
#,End,date,2021-11-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (C),Upstairs2,Basement (C),Basement2
2021-11-01,00:00:00,heat,heatOff,,Sleep,26.5,18,19.1,62,8.4,0,0,0,0,,19.2,62,0,19,0,17.8,0,
2021-11-01,00:05:00,heat,heatOff,,Sleep,26.5,18,19.1,62,8.4,0,0,0,0,,19.2,62,0,19,0,17.7,0,
2021-11-01,00:10:00,heat,heatOff,,Sleep,26.5,18,19.1,62,8.4,0,0,0,0,,19.2,62,0,19,0,17.7,0,
2021-11-01,00:15:00,heat,heatOff,,Sleep,26.5,18,19.1,62,8.4,0,0,0,0,,19.1,62,0,19,0,17.6,0,
2021-11-01,00:20:00,heat,heatOff,,Sleep,26.5,18,19.1,62,8.4,0,0,0,0,,19.1,62,0,19,0,17.6,0,
2021-11-01,00:25:00,heat,heatOff,,Sleep,26.5,18,19,62,8.4,0,0,0,0,,19.1,62,0,19,0,17.6,0,
2021-11-01,00:30:00,heat,heatOff,,Sleep,26.5,18,19,62,8.2,0,0,0,0,,19.1,62,0,19,0,17.6,0,
2021-11-01,00:35:00,heat,heatOff,,Sleep,26.5,18,19,62,8.2,0,0,0,0,,19,62,0,19,0,17.5,0,
2021-11-01,00:40:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8.2,0,0,0,0,,18.9,62,0,19,0,17.5,0,
2021-11-01,00:45:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8.2,0,0,0,0,,18.9,62,0,19,0,17.4,0,
2021-11-01,00:50:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8.2,0,0,0,0,,18.9,62,0,19,0,17.4,0,
2021-11-01,00:55:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8.2,0,0,0,0,,18.9,62,0,19,0,17.4,0,
2021-11-01,01:00:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8,0,0,0,0,,18.8,62,0,19,0,17.4,0,
2021-11-01,01:05:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8,0,0,0,0,,18.8,62,0,19,0,17.3,0,
2021-11-01,01:10:00,heat,heatOff,,Sleep,26.5,18,18.9,62,8,0,0,0,0,,18.8,62,0,19,0,17.3,0,
