#,Thermostat,identifier,x
#,Thermostat,name,Main Floor
#,Start,date,2022-03-01
#,End,date,2022-03-16

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (C),Upstairs2,Basement (C),Basement2
2022-02-28,23:00:00,heat,heatStage1On,,Sleep,26.5,18,17.9,39,-9.8,0,0,15,60,,17.9,39,0,19.1,0,12.7,0,
2022-02-28,23:05:00,heat,heatOff,,Sleep,26.5,18,18.1,39,-9.8,0,0,0,0,,18.1,39,0,19,0,12.7,0,
2022-02-28,23:10:00,heat,heatOff,,Sleep,26.5,18,18.1,40,-9.8,0,0,0,0,,17.9,40,0,19,0,12.8,0,
2022-02-28,23:15:00,heat,heatOff,,Sleep,26.5,18,18.1,40,-9.8,0,0,0,0,,17.7,40,0,19,0,12.8,0,
2022-02-28,23:20:00,heat,heatOff,,Sleep,26.5,18,18.1,40,-9.8,0,0,0,0,,17.6,40,0,19,0,12.7,0,
2022-02-28,23:25:00,heat,heatOff,,Sleep,26.5,18,18.1,40,-9.8,0,0,0,0,,17.4,40,0,18.9,0,12.6,0,
2022-02-28,23:30:00,heat,heatOff,,Sleep,26.5,18,18,40,-10,0,0,0,0,,17.3,40,0,18.8,0,12.6,0,
2022-02-28,23:35:00,heat,heatOff,,Sleep,26.5,18,17.9,40,-10,0,0,0,0,,17.3,40,0,18.7,0,12.5,0,
2022-02-28,23:40:00,heat,heatOff,,Sleep,26.5,18,17.9,40,-10,0,0,0,0,,17.2,40,0,18.7,0,12.4,0,
2022-02-28,23:45:00,heat,heatOff,,Sleep,26.5,18,17.8,40,-10,0,0,0,0,,17.1,40,0,18.6,0,12.4,0,
2022-02-28,23:50:00,heat,heatOff,,Sleep,26.5,18,17.8,40,-10,0,0,0,0,,17.1,40,0,18.5,0,12.3,0,
2022-02-28,23:55:00,heat,heatOff,,Sleep,26.5,18,17.7,40,-10,0,0,0,0,,17,40,0,18.5,0,12.2,0,
2022-03-01,00:00:00,heat,heatOff,,Sleep,26.5,18,17.7,39,-9.9,0,0,285,285,,17,39,0,18.4,0,12.1,0,
2022-03-01,00:05:00,heat,heatStage1On,,Sleep,26.5,18,17.8,38,-9.9,0,0,180,225,,17.3,38,0,18.4,0,12.1,0,
2022-03-01,00:10:00,heat,heatOff,,Sleep,26.5,18,18,38,-9.9,0,0,0,0,,17.7,38,0,18.4,0,12.3,0,
2022-03-01,00:15:00,heat,heatOff,,Sleep,26.5,18,17.9,38,-9.9,0,0,0,0,,17.6,38,0,18.4,0,12.5,0,
